id,name,category,dish_type,price,price_range,ingredients,detailed_ingredients,tags,description,is_available,sort_order,prep_time,image_url
96,Lẩu chay,Lẩu,vegetarian,220000,moderate,"đậu hũ,nấm,rau,bún,nước dùng chay","đậu hũ,nấm đông cô,cải thảo,rau muống,bún,nước dùng chay","lau,chay,nấm,nhieu_nguoi,chay_duoc",Lẩu chay thanh đạm nấm rau tươi nước ngọt thanh.,1,8,25,
97,Lẩu riêu cua,Lẩu,main_course,280000,premium,"cua đồng,cà chua,đậu hũ,rau,bún","cua đồng,cà chua,đậu hũ chiên,rau rút,bún,mắm tôm,ớt","lau,cua,chua,nhieu_nguoi",Lẩu riêu cua đồng đậm vị chua ngọt đặc trưng.,1,9,35,
98,Lẩu cua biển,Lẩu,main_course,380000,premium,"cua biển,sả,ớt,nước dừa,rau","cua biển,sả,ớt,nước dừa,rau,bún,nước dùng ngọt","lau,cua,bien,cao_cap,nhieu_nguoi",Lẩu cua biển nước dùng ngọt béo cua tươi nguyên con.,1,10,30,
99,Lẩu mắm,Lẩu,main_course,260000,premium,"mắm cá linh,thịt heo,cà tím,rau,bún","mắm cá linh,thịt ba chỉ,cà tím,rau muống,bún,nước dùng mắm","lau,mam,mien_tay,dam_da,nhieu_nguoi",Lẩu mắm miền Tây đậm đà mùi mắm béo ngọt cân bằng.,1,11,25,
100,Lẩu ếch sả ớt,Lẩu,main_course,240000,premium,"ếch,sả,ớt,riềng,rau,bún","ếch,sả,ớt,riềng,rau muống,bún,nước dùng","lau,ech,sa_ot,cay,nhieu_nguoi",Lẩu ếch sả ớt cay nồng thịt ếch dai ngọt.,1,12,30,
101,Tôm hùm hấp bia,Hải sản,main_course,850000,premium,"tôm hùm,bia,gừng,sả","tôm hùm,bia,gừng,sả,hành,muối","hai_san,tom_hum,hap,cao_cap,dac_san",Tôm hùm hấp bia thịt ngọt giòn nước thơm đặc biệt.,1,1,20,
102,Cua rang me,Hải sản,main_course,380000,premium,"cua biển,me,tỏi,ớt,đường,nước mắm","cua biển,me,tỏi,ớt,đường,nước mắm,dầu ăn,bơ","hai_san,cua,rang_me,chua_ngot,cao_cap",Cua biển rang me chua ngọt cay đặc sản hải sản.,1,2,25,
103,Tôm sú nướng muối ớt,Hải sản,main_course,220000,premium,"tôm sú,muối,ớt,tỏi,sả","tôm sú,muối,ớt,tỏi,sả,dầu ăn,tiêu","hai_san,tom,nuong,muoi_ot,cao_cap",Tôm sú nướng muối ớt thơm lừng vỏ giòn thịt ngọt.,1,3,20,
104,Mực một nắng Phú Quốc,Hải sản,main_course,200000,premium,"mực,muối,ớt,tỏi,me","mực một nắng Phú Quốc,ớt,tỏi,me,đường,dầu ăn","hai_san,muc,nuong,phu_quoc,dac_san",Mực một nắng Phú Quốc nướng thơm vị đậm đặc sản.,1,4,15,
105,Nghêu hấp sả,Hải sản,main_course,130000,moderate,"nghêu,sả,gừng,ớt,rau răm","nghêu,sả,gừng,ớt,rau răm,nước mắm,chanh","hai_san,ngheu,hap,thom",Nghêu hấp sả thơm nước hấp ngọt uống được.,1,5,15,
106,Chem chép hấp bia,Hải sản,main_course,150000,moderate,"chem chép,bia,sả,gừng,hành","chem chép,bia,sả,gừng,hành lá,ớt,rau răm","hai_san,chem_chep,hap,bia",Chem chép hấp bia thịt mọng nước ngọt tự nhiên.,1,6,15,
107,Ốc hương xào bơ tỏi,Hải sản,main_course,180000,premium,"ốc hương,bơ,tỏi,ớt,sả","ốc hương,bơ,tỏi,ớt,sả,hành lá,nước mắm","hai_san,oc,xao,bo_toi,thom",Ốc hương xào bơ tỏi béo thơm hấp dẫn.,1,7,20,
108,Ghẹ hấp gừng,Hải sản,main_course,280000,premium,"ghẹ,gừng,sả,hành,nước mắm","ghẹ,gừng,sả,hành lá,nước mắm,chanh","hai_san,ghe,hap,gung,cao_cap",Ghẹ hấp gừng thịt ngọt chắc nước thơm đặc trưng.,1,8,20,
109,Tôm rang muối,Hải sản,main_course,180000,moderate,"tôm,muối,tỏi,ớt,đường","tôm tươi,muối,tỏi,ớt,đường,dầu ăn,tiêu","hai_san,tom,rang,gion",Tôm rang muối vỏ giòn vàng đậm vị.,1,9,15,
110,Sò huyết xào tỏi,Hải sản,main_course,140000,moderate,"sò huyết,tỏi,ớt,sả,nước mắm","sò huyết,tỏi,ớt,sả,nước mắm,đường,dầu ăn","hai_san,so,xao,toi,nong",Sò huyết xào tỏi sả cay thơm thịt mọng ngọt.,1,10,15,
111,Mực chiên giòn,Hải sản,main_course,170000,moderate,"mực,bột chiên,trứng,tỏi,ớt","mực ống,bột chiên xù,trứng,tỏi,ớt,muối,tiêu,dầu chiên","hai_san,muc,chien,gion",Mực chiên bột xù giòn mực mềm ngọt bên trong.,1,11,20,
112,Cua biển hấp bia,Hải sản,main_course,350000,premium,"cua biển,bia,sả,gừng","cua biển,bia,sả,gừng,hành,muối","hai_san,cua,hap,bia,cao_cap",Cua biển hấp bia thịt chắc ngọt gạch béo.,1,12,20,
113,Tôm hấp nước dừa,Hải sản,main_course,200000,premium,"tôm,nước dừa,sả,gừng,hành","tôm tươi,nước dừa,sả,gừng,hành lá,muối","hai_san,tom,hap,nuoc_dua,ngot",Tôm hấp nước dừa thịt ngọt béo hương dừa thơm.,1,13,15,
114,Mực nướng lá chuối,Hải sản,main_course,190000,premium,"mực,lá chuối,sả,ớt,mắm","mực ống,lá chuối,sả,ớt,mắm,nước cốt dừa,đường","hai_san,muc,nuong,la_chuoi",Mực nướng lá chuối thơm giữ vị ngọt tự nhiên.,1,14,25,
115,Bạch tuộc xào sả ớt,Hải sản,main_course,220000,premium,"bạch tuộc,sả,ớt,tỏi,nước mắm","bạch tuộc,sả,ớt,tỏi,nước mắm,đường,dầu ăn","hai_san,bach_tuoc,xao,cay",Bạch tuộc xào sả ớt dai ngon cay nồng.,1,15,20,
116,Cá ngừ sốt chanh leo,Hải sản,main_course,230000,premium,"cá ngừ,chanh leo,bơ,tỏi,kem","cá ngừ đại dương,chanh leo,bơ,tỏi,kem tươi,muối,tiêu","hai_san,ca,chanh_leo,cao_cap",Cá ngừ sốt chanh leo chua ngọt tinh tế.,1,16,25,
117,Gà luộc lá chanh,Gà - Bò,main_course,200000,premium,"gà ta,lá chanh,gừng,muối","gà ta,lá chanh,gừng,muối,tiêu xay,dầu ăn","ga,luoc,la_chanh,thom,cao_cap",Gà ta luộc lá chanh da vàng óng thịt ngọt thơm.,1,1,45,
118,Bò lúc lắc,Gà - Bò,main_course,180000,premium,"thịt bò,hành tây,ớt chuông,tỏi,dầu hào","thịt bò thăn,hành tây,ớt chuông,tỏi,dầu hào,nước tương,tiêu","bo,xao,luc_lac,man,cao_cap",Bò lúc lắc thịt mềm xào lửa lớn giữ độ ngọt.,1,2,20,
119,Gà nướng mật ong,Gà - Bò,main_course,160000,premium,"gà,mật ong,tỏi,gừng,nước mắm","đùi gà,mật ong,tỏi,gừng,nước mắm,tiêu,ớt,sả","ga,nuong,mat_ong,thom,cao_cap",Gà nướng mật ong da vàng giòn bên trong mềm ngọt.,1,3,35,
120,Bò kho tiêu xanh,Gà - Bò,main_course,160000,premium,"thịt bò,tiêu xanh,sả,ớt","thịt bò,tiêu xanh Phú Quốc,sả,ớt,dầu hào,đường,nước mắm","bo,kho,tieu_xanh,cay",Bò kho tiêu xanh cay nồng thịt mềm thấm vị.,1,4,50,
121,Gà hấp gừng sả,Gà - Bò,main_course,160000,moderate,"gà,gừng,sả,hành,muối","gà ta,gừng,sả,hành lá,muối,tiêu,rau răm","ga,hap,gung_sa,thanh",Gà hấp gừng sả thịt mềm thơm nước trong ngọt.,1,5,35,
122,Bò xào lăn,Gà - Bò,main_course,170000,premium,"thịt bò,sả,ớt,đậu phộng,curry","thịt bò,sả,ớt,đậu phộng,bột cà ri,nước mắm,đường","bo,xao,lan,cay,curry",Bò xào lăn curry thơm nồng đậu phộng béo bùi.,1,6,25,
123,Gà chiên nước mắm,Gà - Bò,main_course,150000,moderate,"gà,nước mắm,tỏi,đường,ớt","gà,nước mắm,tỏi,đường,ớt,dầu chiên,bột chiên","ga,chien,nuoc_mam,gion",Gà chiên nước mắm vàng giòn vị mắm ngọt đậm đà.,1,7,25,
124,Bò cuốn lá lốt,Gà - Bò,main_course,160000,moderate,"thịt bò,lá lốt,sả,riềng,mỡ chài","thịt bò xay,lá lốt,sả,riềng,mỡ chài,muối,tiêu","bo,nuong,la_lot,thom",Bò cuốn lá lốt nướng thơm mùi lá lốt đặc trưng.,1,8,25,
125,Gà rang muối,Gà - Bò,main_course,140000,moderate,"gà,muối,tỏi,sả,ớt","gà,muối,tỏi,sả,ớt,tiêu,dầu ăn","ga,rang,muoi,gion",Gà rang muối da giòn thơm thịt ngọt đậm vị.,1,9,30,
126,Bò xào rau cần,Gà - Bò,main_course,160000,moderate,"thịt bò,rau cần,tỏi,nước tương","thịt bò,rau cần,tỏi,nước tương,dầu hào,tiêu,đường","bo,xao,rau_can,thom",Bò xào rau cần thơm mát thịt mềm rau giòn.,1,10,15,
127,Gà nướng lu,Gà - Bò,main_course,200000,premium,"gà ta,sả,ớt,muối,ngũ vị hương","gà ta,sả,ớt,muối,ngũ vị hương,gừng,tỏi","ga,nuong_lu,thom,cao_cap",Gà nướng lu than đỏ da giòn rụm thịt thơm mềm.,1,11,60,
128,Bò nhúng giấm,Gà - Bò,main_course,200000,premium,"thịt bò,giấm,sả,hành,đậu phộng","thịt bò tươi,giấm mía,sả,hành tây,đậu phộng,bánh tráng,rau","bo,nhung,dấm,cuon",Bò nhúng giấm chua thanh cuốn bánh tráng rau thơm.,1,12,25,
129,Gà xào sả ớt,Gà - Bò,main_course,140000,moderate,"gà,sả,ớt,tỏi,nước mắm","gà,sả,ớt,tỏi,nước mắm,đường,dầu ăn","ga,xao,sa_ot,cay",Gà xào sả ớt cay thơm vị đậm đà.,1,13,20,
130,Bò hầm rau củ,Gà - Bò,main_course,180000,premium,"thịt bò,cà rốt,khoai tây,cần tây,cà chua","thịt bò,cà rốt,khoai tây,cần tây,cà chua,hành tây,muối,tiêu","bo,ham,rau_cu,bổ_duong",Bò hầm rau củ mềm nhừ bổ dưỡng nước ngọt.,1,14,90,
131,Gà kho gừng,Gà - Bò,main_course,140000,moderate,"gà,gừng,nước mắm,đường,hành","gà,gừng tươi,nước mắm,đường,hành tím,tiêu","ga,kho,gung,am,bat_com",Gà kho gừng ấm nóng đậm vị bắt cơm ngày mưa.,1,15,35,
132,Cơm trắng,Món thêm,main_course,15000,budget,"gạo,nước","gạo tẻ thơm,nước sạch","com,them,trang",Cơm trắng nấu dẻo thơm ăn kèm các món mặn.,1,1,20,
